Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
973,Summit Materials,Materials,"Building Materials, Glass",yes,no,yes,yes,25,yes,no,n/a,5300.0,7767.0,2619.5,8.6,285.9,5149.6,Anne P. Noonan,Denver,Colorado,https://www.summit-materials.com,Public
974,Valvoline,Chemicals,Chemicals,yes,no,yes,yes,-221,no,yes,n/a,10250.0,5779.0,2617.9,-33.4,1419.7,2889.9,Lori A. Flees,Lexington,Kentucky,https://www.valvoline.com,Public
975,Kontoor Brands,Apparel,Apparel,yes,no,no,no,-19,no,yes,n/a,13700.0,3360.0,2607.5,-0.9,231.0,1645.4,Scott H. Baxter,Greensboro,North Carolina,https://www.kontoorbrands.com,Public
976,Skyline Champion,Engineering & Construction,Homebuilders,yes,no,no,no,0,no,no,n/a,7700.0,4910.0,2606.6,18.1,401.8,1562.7,Mark J. Yost,Troy,Michigan,https://ir.skylinechampion.com,Public
977,Teladoc Health,Health Care,Health Care: Pharmacy and Other Services,no,no,yes,no,22,yes,no,n/a,5208.0,2522.0,2602.4,8.1,-220.4,4392.4,Charles Divita III,Purchase,New York,https://www.teladochealth.com,Public
978,Louisiana-Pacific,Materials,"Building Materials, Glass",yes,no,no,no,-261,no,yes,n/a,4100.0,6068.0,2581.0,-40.1,178.0,2437.0,W. Bradley Southern,Nashville,Tennessee,https://www.lpcorp.com,Public
979,Universal,"Food, Beverages & Tobacco",Tobacco,yes,no,no,yes,0,no,no,n/a,19600.0,1271.0,2569.8,22.2,124.1,2639.2,George C. Freeman III,Richmond,Virginia,https://www.universalcorp.com,Public
980,Consol Energy,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,0,no,no,n/a,2020.0,2480.0,2568.9,22.2,655.9,2675.0,James A. Brock,Canonsburg,Pennsylvania,https://www.consolenergy.com,Public
981,Encore Wire,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-91,no,yes,n/a,1629.0,4148.0,2567.7,-14.9,372.4,1967.9,Daniel L. Jones,McKinney,Texas,https://www.encorewire.com,Private
982,Playtika Holding,Media,Entertainment,yes,yes,no,no,-22,no,yes,n/a,3600.0,2613.0,2567.0,-1.9,235.0,3175.0,Robert Antokol,Henderson,Nevada,https://www.playtika.com,Public
983,Alliance Resource Partners,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,17,yes,no,n/a,3595.0,2568.0,2566.7,6.7,630.1,2788.4,Joseph W. Craft III,Tulsa,Oklahoma,https://www.arlp.com,Public
984,Envista Holdings,Health Care,Medical Products and Equipment,no,no,no,yes,-14,no,yes,n/a,12800.0,3674.0,2566.5,-0.6,-100.2,6605.1,Paul Keel,Brea,California,https://www.envistaco.com,Public
985,Shift4 Payments,Business Services,Financial Data Services,yes,yes,no,yes,0,no,no,n/a,3030.0,5695.0,2564.8,28.7,86.2,3387.8,Jared Isaacman,Center Valley,Pennsylvania,https://www.shift4.com,Public
986,Talen Energy,Energy,Energy,no,no,no,no,0,no,no,n/a,2000.0,5569.0,2554.0,-17.3,,7121.0,Mark  McFarland,Houston,Texas,https://www.talenenergy.com,Public
987,Carpenter Technology,Materials,Metals,yes,no,no,yes,0,no,no,n/a,4500.0,3529.0,2550.3,38.9,56.4,3053.9,Tony R. Thene,Philadelphia,Pennsylvania,https://www.carpentertechnology.com,Public
988,WEX,Business Services,Financial Data Services,yes,no,yes,yes,0,no,no,n/a,7200.0,9913.0,2548.0,8.4,266.6,13882.1,Melissa D. Smith,Portland,Maine,https://www.wexinc.com,Public
989,Old National Bancorp,Financials,Commercial Banks,yes,no,no,no,0,no,no,n/a,3940.0,5096.0,2540.2,37.0,582.0,49089.8,James C. Ryan III,Evansville,Indiana,https://www.oldnational.com,Public
